type, name, level, interest, importance
lang, JavaScript, 0.95, 0.95, 1,
lang, TypeScript, 1.0, 0.98, 1,
lang, Dart, 0.7, 0.93, 0.8,
lang, Rust, 0.05, 0.6, 0.4,
lang, Java, 0.1, 0.15, 0.3,
lang, Python, 0.4, 0.6, 0.9
lang, SCSS, 0.75, 0.55, 0.3,
lang, CSS, 0.9, 0.7, 0.6,
lang, HTML, 0.8, 0.4, 0.6,
lang, Pug, 0.8, 0.82, 0.2,
lang, Bash, 0.6, 0.75, 0.8,
lang, GLSL, 0.05, 0.8, 0.2,
lang, SQL, 0.87, 0.8, 0.8,
lang, Lisp, 0.4, 0.65, 0.2,
lang, GraphQL, 0.9, 0.85, 0.9,
lang, Less, 0.63, 0.21, 0.1,
lang, Markdown, 0.9, 0.75, 0.1,
lang, PlantUML, 0.8, 0.54, 0.56,
lang, Mermaid, 0.8, 0.6, 0.62,
runtime, Node.js, 0.92, 0.96, 1,
runtime, Bun, 0.52, 0.75, 0.2,
runtime, Deno, 0.45, 0.7, 0.2,
runtime, Duktape, 0.15, 0.58, 0.3,
framework, AngularJS, 0.9, 0.2, 0.3,
framework, Angular, 0.14, 0.28, 0.3,
framework, Ext JS, 0.4, 0.1, 0.3,
framework, Bootstrap, 0.7, 0.3, 0.7,
framework, Tailwind, 0.75, 0.8, 0.5,
framework, MUI, 0.65, 0.7, 0.5,
framework, Mantine, 0.3, 0.7, 0.5,
framework, Flutter, 0.75, 1, 0.6,
framework, Next.js, 0.8, 0.68, 0.8,
framework, Express, 0.8, 0.5, 0.8,
framework, micro, 0.65, 0.52, 0.2,
framework, Electron, 0.17, 0.6, 0.3,
framework, NW.js, 0.22, 0.6, 0.3,
framework, Serverless, 0.14, 0.32, 0.1,
framework, Svelte, 0.1, 0.75, 0.1,
framework, Jest, 0.75, 0.71, 0.2,
framework, Leaflet, 0.43, 0.64, 0.2,
framework, PostCSS, 0.23, 0.4, 0.1,
framework, Polymer, 0.55, 0.38, 0.2,
framework, Mocha, 0.8, 0.23, 0.2,
framework, Karma, 0.61, 0.31, 0.1,
framework, TestCafe, 0.7, 0.56, 0.1,
framework, Apollo, 0.86, 0.65, 0.8,
framework, PyTorch, 0.23, 0.8, 0.2,
framework, react-admin, 0.94, 0.65, 0.2,
lib, React, 0.98, 0.9, 1,
lib, Hyperapp, 0.6, 0.4, 0.2,
lib, d3, 0.9, 0.92, 0.8,
lib, jQuery, 0.6, 0.05, 0.2,
lib, Puppeteer, 0.82, 0.62, 0.4,
lib, Playwright, 0.82, 0.67, 0.4,
lib, Axios, 0.54, 0.6, 0.1,
lib, Three.js, 0.22, 0.74, 0.1,
lib, Redux, 0.3, 0.42, 0.1,
lib, Impress.js, 0.6, 0.53, 0.1,
lib, Storybook, 0.65, 0.57, 0.1,
lib, Socket.io, 0.32, 0.63, 0.1,
lib, Highcharts, 0.53, 0.43, 0.1,
lib, ECharts, 0.54, 0.47, 0.1,
lib, Lodash, 0.72, 0.33, 0.1,
lib, Request, 0.5, 0.22, 0.1,
lib, Formik, 0.38, 0.56, 0.1,
lib, RxJS, 0.12, 0.71, 0.1,
lib, Sequelize, 0.13, 0.41, 0.1,
lib, Mongoose, 0.65, 0.24, 0.1,
lib, Framer Motion, 0.7, 0.85, 0.2,
lib, Styled Components, 0.73, 0.45, 0.2,
lib, @graphql-tools, 0.8, 0.69, 0.2,
lib, TypeORM, 0.9, 0.43, 0.2,
lib, txtai, 0.38, 0.8, 0.2,
lib, graphrag, 0.6, 0.8, 0.2,
lib, k6, 0.84, 0.7, 0.7,
tool, NPM, 0.82, 0.85, 0.2,
tool, Yarn, 0.8, 0.63, 0.2,
tool, Grunt, 0.82, 0.13, 0.2,
tool, Gulp, 0.8, 0.10, 0.2,
tool, Parcel, 0.8, 0.65, 0.4,
tool, Webpack, 0.88, 0.66, 0.4,
tool, Snowpack, 0.23, 0.28, 0.4,
tool, Rome, 0.1, 0.24, 0.4,
tool, SWC, 0.5, 0.72, 0.4,
tool, Pulumi, 0.64, 0.97, 0.2,
tool, Terraform, 0.68, 0.72, 0.2,
tool, Docker, 0.88, 0.82, 0.7,
tool, Gradle, 0.23, 0.13, 0.3,
tool, Ant, 0.17, 0.1, 0.2,
tool, Jenkins, 0.53, 0.27, 0.2,
tool, Lerna, 0.14, 0.6, 0.1,
tool, Hasura, 0.95, 0.92, 0.6,
tool, danger, 0.7, 0.82, 0.2,
tool, Retool, 0.56, 0.45, 0.2,
cloud, AWS, 1.0, 0.82, 0.9,
cloud, GCP, 0.44, 0.86, 0.9,
cloud, Digital Ocean, 0.3, 0.45, 0.2,
cloud, Heroku, 0.46, 0.45, 0.2,
cloud, Vercel, 0.84, 0.84, 0.4,
cloud, Render, 0.22, 0.48, 0.2,
cloud, Fly.io, 0.44, 0.65, 0.2,
database, PostgreSQL, 1.0, 0.88, 0.9,
database, MongoDB, 0.62, 0.77, 0.6,
database, FaunaDB, 0.45, 0.77, 0.2,
database, Redis, 0.3, 0.55, 0.6,
database, ElasticSearch, 0.12, 0.43, 0.3,
database, DynamoDB, 0.12, 0.47, 0.3,

